TruSight Oncology 500 - Metrics Output																																		
For Research Use Only. Not for use in diagnostic procedures.																																		
																																		
[Header]																																		
Output Date	2025-03-23																																	
Output Time	00:58:30																																	
Workflow Version	ruo-2.2.0.12																																	
																																		
[Run QC Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	Value																															
PCT_PF_READS (%)	55.0	NA	80.3																															
PCT_Q30_R1 (%)	80.0	NA	93.3																															
PCT_Q30_R2 (%)	80.0	NA	90.2																															
																																		
[Analysis Status]																																		
	IPD0086-D01-d02-A22_P	IPD0086-R03-d02-A22_P	IPD0781-D01-P91-A29-0015_P	IPD1704-R03-X11-A30_P	IPD1724-D01-r01-A09_P	IPD1724-R03-d01-A09_P	IPD1736-D01-X01-A08_P	IPD1736-R03-X01-A08_P	IPD1737-R03-d11-A24_P	IPD1747-D01-P02-A24_P	IPD1747-R03-P02-A24_P	IPD1752-R03-X11-M17_P	IPD1755-D01-P01-A12_P	IPD1755-R03-P01-A12_P	IPD1756-D01-D01-A00_P	IPD1756-R03-D01-A00_P	IPD1757-D01-d01-A23_P	IPD1757-R03-d01-A23_P	IPD1758-D01-D01-A24_P	IPD1758-R03-D01-A24_P	IPD1759-D01-D01-A09_P	IPD1759-R03-D01-A09_P	IPD1760-D01-P01-A08_P	IPD1761-D01-R01-A30_P	IPD1761-R03-R01-A30_P	IPD1764-D01-D01-A21_P	IPD1764-R03-D01-A21_P	IPD1767-D01-D01-A19_P	IPD1767-R03-D01-A19_P	IPD1768-D01-d01-A28_P	IPD1768-R03-d01-A28_P	IPD1777-D01-P01-A08_P		
COMPLETED_ALL_STEPS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		
FAILED_STEPS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
STEPS_NOT_EXECUTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
																																		
[DNA Library QC Metrics]																																		
