TruSight Oncology 500 - Metrics Output																																		
For Research Use Only. Not for use in diagnostic procedures.																																		
																																		
[Header]																																		
Output Date	2025-04-06																																	
Output Time	05:30:45																																	
Workflow Version	ruo-2.2.0.12																																	
																																		
[Run QC Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	Value																															
PCT_PF_READS (%)	55.0	NA	82.2																															
PCT_Q30_R1 (%)	80.0	NA	94.0																															
PCT_Q30_R2 (%)	80.0	NA	92.3																															
																																		
[Analysis Status]																																		
	IPD1693-D06-P02-A23_P	IPD1693-R03-P02-A23_P	IPD1712-D06-d11-A06_P	IPD1766-D06-P02-A03_P	IPD1766-R03-P02-A03_P	IPD1781-D06-P01-A12_P	IPD1781-R03-P01-A12_P	IPD1782-D06-P01-A15_P	IPD1782-R03-P01-A15_P	IPD1787-D06-d01-A18_P	IPD1787-R03-d01-A18_P	IPD1788-D06-P01-A04_P	IPD1788-R03-P01-A04_P	IPD1789-D06-d01-A09_P	IPD1789-R03-d01-A09_P	IPD1792-D06-P01-A15_P	IPD1792-R03-P01-A15_P	IPD1793-D06-R01-A18_P	IPD1793-R03-R01-A18_P	IPD1795-D06-R01-A15_P	IPD1795-R03-R01-A15_P	IPD1797-D06-P01-A08_P	IPD1797-R03-P01-A08_P	IPD1799-D06-P01-A23_P	IPD1799-R03-P01-A23_P	IPD1804-D06-P01-A16_P	IPD1804-R03-P01-A16_P	IPD1805-D06-d01-A23_P	IPD1805-R03-d01-A23_P	IPD1809-D06-d01-A23_P	IPD1809-R03-d01-A23_P	IPD1812-R03-P01-A08_P		
COMPLETED_ALL_STEPS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		
FAILED_STEPS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
STEPS_NOT_EXECUTED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		
																																		
[DNA Library QC Metrics]																																		
