# Joint metrics table generated from MetricsOutput.tsv files parsed with file_parser.py / Parse_section_tsv.
# WORKFLOW_TYPE and WORKFLOW_VERSION identify whether each row came from DRAGEN or LocalApp.
# RECORD_TYPE identifies DNA_SAMPLE, RNA_SAMPLE, LOWER_THRESHOLD, or UPPER_THRESHOLD rows.
# DNA-specific metric columns use the DNA_ prefix. RNA-specific metric columns use the RNA_ prefix. Metadata columns do not use DNA_ or RNA_ prefixes.
# Interpret metrics cautiously when multiple workflows contribute data because similarly named metrics can be generated or formatted differently across workflows.
SAMPLE_ID	RUN	WORKFLOW_TYPE	WORKFLOW_VERSION	RECORD_TYPE	COMPLETED_ALL_STEPS	FAILED_STEPS	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	STEPS_NOT_EXECUTED	DNA_ALLELE_DOSAGE_RATIO	DNA_CONTAMINATION_P_VALUE	DNA_CONTAMINATION_SCORE	DNA_COVERAGE_MAD	DNA_EXCESSIVE_TF	DNA_GENE_SCALED_MAD	DNA_MEAN_FAMILY_SIZE	DNA_MEAN_TARGET_COVERAGE	DNA_MEDIAN_BIN_COUNT_CNV_TARGET	DNA_MEDIAN_EXON_COVERAGE	DNA_MEDIAN_INSERT_SIZE	DNA_MEDIAN_TARGET_COVERAGE	DNA_MEDIAN_TARGET_HRD_COVERAGE	DNA_PCT_ALIGNED_READS	DNA_PCT_CHIMERIC_READS	DNA_PCT_CONTAMINATION_EST	DNA_PCT_EXON_100X	DNA_PCT_EXON_50X	DNA_PCT_PF_UQ_READS	DNA_PCT_Q30_BASES	DNA_PCT_READ_ENRICHMENT	DNA_PCT_SOFT_CLIPPED_BASES	DNA_PCT_TARGET_0_4X_MEAN	DNA_PCT_TARGET_100X	DNA_PCT_TARGET_250X	DNA_PCT_TARGET_50X	DNA_PCT_TARGET_HRD_50X	DNA_PCT_USABLE_UMI_READS	DNA_TOTAL_PF_READS	DNA_USABLE_MSI_SITES	RNA_GENE_ABOVE_MEDIAN_CUTOFF	RNA_GENE_MEDIAN_COVERAGE	RNA_MEDIAN_CV_GENE_500X	RNA_MEDIAN_INSERT_SIZE	RNA_PCT_CHIMERIC_READS	RNA_PCT_ON_TARGET_READS	RNA_PCT_Q30_BASES	RNA_PCT_SOFT_CLIPPED_BASES	RNA_SCALED_MEDIAN_GENE_COVERAGE	RNA_TOTAL_ON_TARGET_READS	RNA_TOTAL_PF_READS
LSL_Guideline	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.000	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	50.0	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	2500000	NA
USL_Guideline	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	1457	NA	0	0.134	NA	NA	NA	NA	NA	NA	NA	NA	8.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA
TVD0016	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0014	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVR0017	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0018	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0020	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0022	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0024	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0026	240809_A02134_0013_BHCGJYDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
