RUN_ID	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	CLUSTER_DENSITY	ESTIMATED_YIELD	CLUSTERS_PASSING_FILTER	RUN_NUMBER
240809_A02134_0013_BHCGJYDRX5	75.4	93.2	92.4	0	0	0	1
240906_A02134_0019_BHHGKGDRX5	75.4	93.2	92.4	0	0	0	2
240927_A02134_0024_BHHGG7DRX5	0	0	0	0	0	0	3
241115_A02134_0038_BHKT5WDRX5	0	0	0	0	0	0	4
241004_A02134_0026_BHJ2CFDRX5	0	0	0	0	0	0	5
250321_A02134_0073_BHTMFHDRX5	0	0	0	0	0	0	6
250404_A02134_0079_BHTLC7DRX5	0	0	0	0	0	0	7
250425_A02134_0083_BHYHMWDRX5	0	0	0	0	0	0	8
250516_A02134_0087_BHLMFHDRX5	0	0	0	0	0	0	9
250530_A02134_0089_BHYGC3DRX5	0	0	0	0	0	0	10
250613_A02134_0091_BHYFHJDRX5	80.3	93.3	90.2	0	0	0	11
250627_A02134_0093_BHYHNYDRX5	80.3	93.3	90.2	0	0	0	12
250822_A02134_0101_BHYFHLDRX5	0	0	0	0	0	0	13
